t,w,d,c,policy,schedule,evictions,trials,failures,failure_rate,failure_log2,failure_ci95_low,failure_ci95_high,exact_waterfall_failure,exact_waterfall_failure_log2,batch_failure_log2,batch_ci95_high_log2,mean_unplaced,p95_unplaced,output_columns,local_expansion_N,bin_solver_calls,index_bits,waterfall_pair_tests,main_one_hot_bits,repair_steps,repair_scan_units,rough_repair_index_bit_ops,optimized_repair_scan_units,rough_optimized_repair_index_bit_ops
16,3,10,2,uniform,global,4,50000,1,2e-05,-15.609640474436812,3.5304998228322403e-06,0.00011328970139119826,0.000437726550415301,-11.157682485883683,-7.609640474436811,-5.107695660731253,0.18668,1,32,5,3,4,360,480,4,192,1536,192,1536
16,3,10,2,biased,global,8,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.18666,1,32,5,3,4,360,480,8,384,3072,384,3072
16,3,10,2,uniform,global,8,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.18666,1,32,5,3,4,360,480,8,384,3072,384,3072
16,3,10,2,biased,global,16,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.18666,1,32,5,3,4,360,480,16,768,6144,768,6144
16,3,10,2,uniform,global,16,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.18666,1,32,5,3,4,360,480,16,768,6144,768,6144
16,3,10,2,biased,global,32,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.18666,1,32,5,3,4,360,480,32,1536,12288,1536,12288
16,3,10,2,uniform,global,32,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.18666,1,32,5,3,4,360,480,32,1536,12288,1536,12288
16,3,10,2,oracle,none,0,50000,0,0.0,-inf,0.0,7.682327414499629e-05,0.000437726550415301,-11.157682485883683,-inf,-5.668097022777023,0.0,0,32,5,3,4,360,480,0,0,0,0,0
16,3,12,0,waterfall,none,0,50000,3489,0.06978,-3.841042592242437,0.06757972405703708,0.07204637776096823,0.07227561937853655,-3.7903471225924377,0.0,0.0,0.07188,1,36,3,3,4,360,576,0,0,0,0,0
16,3,12,0,biased,global,2,50000,443,0.00886,-6.818477585881793,0.008075510063826938,0.009719951901900205,0.07227561937853655,-3.7903471225924377,0.0,0.0,0.0091,0,36,3,3,4,360,576,2,96,768,48,384
