selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,1.0,0,11,0.0,-176.00024214972495,0.0,127.37545452280179,127.37545452280179,0.6245454771982111
leakage,2.0,0,11,0.0,-176.00024214972495,0.0,127.67925598859638,127.67925598859638,0.32074401140361886
leakage,4.0,0,11,0.0,-176.00024214972495,0.0,130.88560375820595,130.88560375820595,-2.8856037582059457
leakage,8.0,0,11,0.0,-176.00024214972495,0.0,146.27029696533927,146.27029696533927,-18.27029696533927
uniform,0.0,0,11,0.0,-176.00024214972495,0.0,128.0155052728014,128.0155052728014,-0.015505272801391357
leakage,0.0,0,12,0.0,-192.00026416333634,0.0,128.01691484305604,128.01691484305604,-0.016914843056042628
leakage,0.25,0,12,0.0,-192.00026416333634,0.0,127.76524274933374,127.76524274933374,0.23475725066626296
leakage,0.5,0,12,0.0,-192.00026416333634,0.0,127.57523619753783,127.57523619753783,0.4247638024621665
leakage,1.0,0,12,0.0,-192.00026416333634,0.0,127.37686409305645,127.37686409305645,0.6231359069435456
leakage,2.0,0,12,0.0,-192.00026416333634,0.0,127.68066555885106,127.68066555885106,0.31933444114893916
leakage,4.0,0,12,0.0,-192.00026416333634,0.0,130.88701332846063,130.88701332846063,-2.8870133284606254
leakage,8.0,0,12,0.0,-192.00026416333634,0.0,146.27170653559392,146.27170653559392,-18.27170653559392
uniform,0.0,0,12,0.0,-192.00026416333634,0.0,128.01691484305604,128.01691484305604,-0.016914843056042628
leakage,0.0,0,13,0.0,-208.0002861769477,0.0,128.01832441331072,128.01832441331072,-0.01832441331072232
leakage,0.25,0,13,0.0,-208.0002861769477,0.0,127.76665231958842,127.76665231958842,0.23334768041158327
leakage,0.5,0,13,0.0,-208.0002861769477,0.0,127.57664576779251,127.57664576779251,0.4233542322074868
leakage,1.0,0,13,0.0,-208.0002861769477,0.0,127.37827366331112,127.37827366331112,0.6217263366888801
leakage,2.0,0,13,0.0,-208.0002861769477,0.0,127.68207512910573,127.68207512910573,0.3179248708942737
leakage,4.0,0,13,0.0,-208.0002861769477,0.0,130.88842289871528,130.88842289871528,-2.8884228987152767
leakage,8.0,0,13,0.0,-208.0002861769477,0.0,146.2731161058486,146.2731161058486,-18.2731161058486
uniform,0.0,0,13,0.0,-208.0002861769477,0.0,128.01832441331072,128.01832441331072,-0.01832441331072232
leakage,0.0,0,14,0.0,-224.00030819055905,0.0,128.0197339835654,128.0197339835654,-0.019733983565402013
leakage,0.25,0,14,0.0,-224.00030819055905,0.0,127.76806188984308,127.76806188984308,0.2319381101569178
leakage,0.5,0,14,0.0,-224.00030819055905,0.0,127.57805533804718,127.57805533804718,0.4219446619528213
leakage,1.0,0,14,0.0,-224.00030819055905,0.0,127.3796832335658,127.3796832335658,0.6203167664342004
leakage,2.0,0,14,0.0,-224.00030819055905,0.0,127.68348469936039,127.68348469936039,0.3165153006396082
leakage,4.0,0,14,0.0,-224.00030819055905,0.0,130.88983246896996,130.88983246896996,-2.8898324689699564
leakage,8.0,0,14,0.0,-224.00030819055905,0.0,146.27452567610328,146.27452567610328,-18.27452567610328
uniform,0.0,0,14,0.0,-224.00030819055905,0.0,128.0197339835654,128.0197339835654,-0.019733983565402013
leakage,0.0,0,15,0.0,-240.0003302041704,0.0,128.02114355382008,128.02114355382008,-0.021143553820081706
